AcresBurned,Counties,Latitude,Longitude,Date
175.0,Lake,39.1647,-122.5983,2014-05-25
143.0,Shasta,40.6569,-122.2215,2014-07-09
130.0,Mariposa,37.7103,-120.197,2014-06-10
125.0,Santa Clara,0.0,0.0,2014-06-30
125.0,San Diego,32.81,-116.49,2014-03-08
120.0,Calaveras,120.679019,38.178241,2014-06-20
120.0,Placer,0.0,0.0,2014-01-22
113.0,Inyo,37.399,-118.352,2014-04-19
106.0,Fresno,36.8266,-119.3415,2014-01-25
105.0,San Diego,0.0,0.0,2014-05-14
101.0,Modoc,41.507,-121.266,2014-08-12
100.0,Lake,0.0,0.0,2014-09-03
100.0,Riverside,0.0,0.0,2014-09-01
94.0,El Dorado,38.59,-120.02799999999999,2014-09-14
90.0,Mariposa,0.0,0.0,2014-06-06
85.0,Calaveras,38.058,-120.66,2014-06-22
84.0,Nevada,39.3918,-120.0805,2014-08-18
80.0,Santa Clara,0.0,0.0,2014-08-28
80.0,Contra Costa,37.5359,-121.5118,2014-07-11
79.0,Mariposa,0.0,0.0,2014-09-07
78.0,Riverside,0.0,0.0,2014-07-23
75.0,Shasta,40.5719,-121.3415,2014-07-05
75.0,Monterey,36.103,-121.117,2014-04-30
72.0,Butte,39.4664,-121.6129,2014-07-14
70.0,Tuolumne,37.8316,-120.3434,2014-09-04
70.0,Kern,0.0,0.0,2014-07-01
70.0,Solano,121.999,38.453,2014-06-12
65.0,Inyo,0.0,0.0,2014-09-16
62.0,Mendocino,0.0,0.0,2014-09-21
60.0,Butte,0.0,0.0,2014-01-01
57.0,Riverside,33.5982,-116.1985,2014-03-28
56.0,San Diego,0.0,0.0,2014-05-14
50.0,Shasta,40.39,-122.721,2014-05-14
48.0,San Bernardino,33.93869,-117.70643000000001,2014-10-16
47.0,San Luis Obispo,35.8218,-121.0226,2014-07-07
40.0,Fresno,36.991825,-119.52550600000001,2014-06-09
38.0,Nevada,39.1871,-121.2687,2014-07-07
37.0,Humboldt,0.0,0.0,2014-08-01
37.0,Stanislaus,0.0,0.0,2014-05-27
31.0,Riverside,0.0,0.0,2014-06-06
30.0,Siskiyou,0.0,0.0,2014-07-29
30.0,El Dorado,38.608336,-120.70323799999998,2014-07-09
29.0,San Diego,32.665,-116.22200000000001,2014-05-05
27.0,Napa,38.695961,-122.384054,2014-09-11
25.0,Ventura,0.0,0.0,2014-09-29
25.0,Shasta,40.0,29.24,2014-08-29
25.0,Fresno,36.742746999999994,-119.24149299999999,2014-06-11
20.0,El Dorado,38.9195001,-120.1140659,2014-09-25
20.0,San Diego,32.59154,-116.89516,2014-08-16
18.0,Humboldt,0.0,0.0,2014-01-03
15.0,Trinity,40.41,-123.24,2014-07-01
14.0,Placer,0.0,0.0,2014-07-21
14.0,Riverside,0.0,0.0,2014-06-04
10.0,Madera,37.0,18.4,2014-08-26
6.0,Napa,0.0,0.0,2014-08-24
0.0,Siskiyou,41.79600000000001,-123.374,2014-08-11
151623.0,Fresno,36.874,-118.905,2015-07-31
77081.0,Trinity,0.0,0.0,2015-07-30
69438.0,Lake,38.886353799999995,-122.47624750000001,2015-07-29
36503.0,Trinity,0.0,0.0,2015-07-30
31359.0,San Bernardino,34.160277777778,-116.89277777778,2015-06-17
30361.0,Del Norte,0.0,0.0,2015-07-31
29416.0,Trinity,0.0,0.0,2015-07-30
25118.0,Lake,38.8142503,-122.48673190000001,2015-08-09
25118.0,Napa,38.8142503,-122.48673190000001,2015-08-09
10570.0,Lassen,40.938,-120.105,2015-08-03
7509.0,Del Norte,0.0,0.0,2015-08-01
7000.0,Inyo,0.0,0.0,2015-02-06
7000.0,Mono,0.0,0.0,2015-02-06
6980.0,Tulare,36.24,-118.54,2015-07-19
5702.0,Madera,37.279722,-119.50013999999999,2015-07-25
4883.0,Humboldt,0.0,0.0,2015-07-30
4863.0,Modoc,41.398999999999994,-121.39200000000001,2015-07-30
4250.0,San Bernardino,34.339,-117.478,2015-07-17
3676.0,Mono,0.0,0.0,2015-08-14
2700.0,Alameda,37.3845,-121.3732,2015-08-19
2446.0,San Luis Obispo,35.3477,-120.6269,2015-08-16
2304.0,Nevada,39.192088,-120.88231299999998,2015-07-25
1850.0,San Diego,0.0,0.0,2015-08-13
1791.0,San Luis Obispo,0.0,0.0,2015-06-20
1542.0,Trinity,40.924,-123.16799999999999,2015-06-10
1450.0,Merced,0.0,0.0,2015-07-31
1333.0,Merced,0.0,0.0,2015-07-18
1086.0,Monterey,36.3699644,-121.589554,2015-09-19
1049.0,Riverside,33.884313,-117.64275900000001,2015-04-18
1042.0,Butte,39.5218,-121.3363,2015-09-11
920.0,Madera,37.165766999999995,-119.52394299999999,2015-06-18
860.0,Butte,0.0,0.0,2015-10-03
673.0,Lake,55.23,-122.0,2015-09-02
670.0,San Benito,36.70854,-121.32733999999999,2015-10-12
543.0,Riverside,33.5736,-116.5387,2015-08-10
509.0,Mono,0.0,0.0,2015-02-06
500.0,Madera,0.0,0.0,2015-06-18
430.0,Tulare,36.085212,-118.82423500000002,2015-07-21
415.0,Mariposa,0.0,0.0,2015-09-07
415.0,Los Angeles,34.361007,-118.535793,2015-06-24
400.0,Butte,39.43963,-121.38793999999999,2015-07-29
374.0,Los Angeles,0.0,0.0,2015-08-16
355.0,Amador,0.0,0.0,2015-07-02
300.0,Los Angeles,0.0,0.0,2015-08-16
300.0,Alameda,0.0,0.0,2015-06-05
282.0,Ventura,0.0,0.0,2015-08-02
275.0,Merced,37.08312,-121.06963,2015-05-11
242.0,Alameda,0.0,0.0,2015-05-28
227.0,Mendocino,0.0,0.0,2015-07-30
215.0,Santa Clara,0.0,0.0,2015-09-09
215.0,Lake,38.925764,-122.879272,2015-08-22
214.0,Orange,33.7626,-117.7274,2015-07-13
212.0,Shasta,40.415108000000004,-122.439939,2015-07-29
211.0,Santa Barbara,0.0,0.0,2015-06-29
204.0,Tuolumne,37.823,-120.15643999999999,2015-07-29
200.0,Los Angeles,34.367,-117.68299999999999,2015-07-17
200.0,Siskiyou,41.485,-121.851,2015-02-24
195.0,Contra Costa,37.81629,-121.68113000000001,2015-07-30
186.0,Ventura,0.0,0.0,2015-08-14
181.0,Siskiyou,41.8048,-122.5029,2015-07-13
171.0,San Diego,32.9421,-116.8534,2015-06-17
170.0,Fresno,40.400196,-120.553075,2015-09-09
170.0,Tehama,39.8448,-122.3638,2015-07-04
167.0,Kern,0.0,0.0,2015-08-20
167.0,San Diego,33.383889,-116.86861100000002,2015-07-24
164.0,Ventura,0.0,0.0,2015-06-22
158.0,Humboldt,41.295667,-123.784067,2015-07-24
158.0,Yuba,39.2688,-121.26471000000001,2015-06-18
150.0,Solano,38.4113,-122.0789,2015-07-06
150.0,Riverside,0.0,0.0,2015-07-01
146.0,Humboldt,40.1058823,-124.0720419,2015-08-18
137.0,Plumas,40.050833333333,-120.70166666667,2015-04-13
135.0,Madera,37.072561,-119.6958,2015-06-21
128.0,Trinity,40.724897999999996,-122.96173999999999,2015-08-25
122.0,San Joaquin,0.0,0.0,2015-06-18
116.0,Modoc,41.29226,-121.17211699999999,2015-07-23
114.0,Calaveras,38.052,-120.5577,2015-08-13
112.0,Tuolumne,37.83618,-120.61691,2015-08-15
111.0,Lassen,0.0,0.0,2015-06-30
110.0,Sacramento,0.0,0.0,2015-09-03
110.0,Tehama,40.3506868,-121.77867990000001,2015-08-08
110.0,Placer,0.0,0.0,2015-06-08
109.0,Shasta,40.475120000000004,-122.52541000000001,2015-09-11
108.0,Tuolumne,38.04684,-120.30188000000001,2015-09-08
104.0,Butte,39.8707,-121.8938,2015-10-02
100.0,San Bernardino,34.165974,-117.24387800000001,2015-06-25
95.0,Monterey,36.5696373,-121.75560290000001,2015-09-19
95.0,San Luis Obispo,35.7183,-121.0157,2015-07-10
90.0,Shasta,40.49865,-122.20109,2015-07-30
86.0,Tulare,36.49845,-118.9009,2015-07-30
80.0,San Diego,32.6449163,-116.94543870000001,2015-06-26
80.0,Riverside,0.0,0.0,2015-06-01
77.0,Modoc,40.856421999999995,-121.101623,2015-07-23
75.0,Shasta,40.67868,-121.93243999999999,2015-08-02
75.0,Shasta,40.509552,-122.19922700000001,2015-07-29
75.0,El Dorado,38.775999999999996,-120.404,2015-07-23
75.0,Butte,0.0,0.0,2015-07-01
72.0,Butte,26.42,-121.0,2015-09-02
69.0,Siskiyou,0.0,0.0,2015-08-20
67.0,Kern,35.77937,-120.19481999999999,2015-06-15
65.0,San Bernardino,0.0,0.0,2015-08-01
60.0,Fresno,0.0,0.0,2015-07-18
60.0,Lassen,40.875667,-121.033667,2015-06-19
60.0,Riverside,0.0,0.0,2015-06-18
60.0,Mariposa,0.0,0.0,2015-06-18
60.0,Amador,38.260777000000004,-121.135426,2015-06-16
59.0,Shasta,40.3929,-122.40546,2015-08-03
58.0,Siskiyou,0.0,0.0,2015-10-10
55.0,San Bernardino,34.23,-116.883,2015-08-23
55.0,San Diego,33.4115972,-117.2886249,2015-08-09
55.0,Tehama,40.0133,-122.552,2015-06-17
54.0,San Bernardino,34.0783472,-117.04878629999999,2015-07-12
53.0,Alameda,0.0,0.0,2015-06-25
52.0,Santa Barbara,34.9522,-120.2903,2015-08-01
50.0,Ventura,34.15,-118.87944399999999,2015-11-07
50.0,Mendocino,39.433009999999996,-123.36316000000001,2015-07-30
45.0,Kern,0.0,0.0,2015-09-09
45.0,Alameda,0.0,0.0,2015-07-02
45.0,Fresno,0.0,0.0,2015-06-05
43.0,Modoc,0.0,0.0,2015-07-09
42.0,Santa Clara,0.0,0.0,2015-06-30
40.0,Lassen,40.400196,-120.553075,2015-09-09
40.0,Stanislaus,37.24523,-121.20324,2015-07-28
40.0,Solano,38.1029,-122.1578,2015-07-10
38.0,Napa,38.5287,-122.3415,2015-06-16
36.0,Napa,0.0,0.0,2015-06-09
35.0,Trinity,40.0,41.46,2015-09-08
35.0,El Dorado,0.0,0.0,2015-07-03
35.0,Mendocino,39.7806004,-123.24821399999999,2015-06-28
30.0,Nevada,39.080999999999996,-121.194,2015-09-22
30.0,Lassen,41.12362,-121.19425600000001,2015-08-29
30.0,Yuba,39.33303,-121.18735,2015-08-03
29.0,Ventura,0.0,0.0,2015-11-11
